obsid,mjd_mid,tspan_s,n_ph,f0,sigma_f,h_stat,z2_1,detected
3020180427,59065.52123087,184.0,7875,-0.000000000,1.673e-05,125972.0,15750.0,True
3020180429,,,,,,,,False
3020180430,,,,,,,,False
3020180431,59111.74196900,445.0,18764,,,6.2,6.2,False
3020180433,,,,,,,,False
3020180434,,,,,,,,False
3020180435,,,,,,,,False
3020180408,58998.76708690,0.0,193661,11.184773831,1.304e-06,93.1,42.6,True
3020180432,59114.64816152,613.0,25898,,,14.8,4.8,False
3020180438,59121.43044666,5643.1,6517,,,1.9,1.9,False
3020180439,,,,,,,,False
3020180421,59046.53139997,21214.3,75557,,,6.1,6.1,False
3020180441,,,,,,,,False
3020180442,59159.61085137,92.0,4204,,,0.1,0.1,False
3020180437,59120.41874868,16959.5,33711,11.184611138,5.805e-06,24.0,12.6,True
3020180443,59161.22411232,386.0,17100,,,1.2,1.2,False
3020180440,59127.42346942,17500.5,45790,11.184603468,5.830e-06,15.5,12.3,True
3020180436,59119.84325178,0.0,73247,11.184615320,5.182e-06,25.7,10.0,True
3020180444,59162.09552411,6091.3,45783,11.184534587,1.092e-05,17.3,13.8,True
3020180445,59165.74225161,831.0,35602,,,24.8,0.7,False
3020180409,58999.34712502,0.0,321945,11.184772174,1.211e-06,106.6,38.9,True
3020180450,59185.80813815,79286.9,28630,11.184506671,8.939e-07,17.1,11.5,True
3020180447,59167.26689275,11410.5,63330,,,13.7,9.0,False
3020180451,59186.08718954,22862.0,38095,,,11.4,8.4,False
3020180417,59032.54079575,0.0,259795,11.184725306,6.072e-07,89.9,62.2,True
3020180454,59190.21735044,362.0,15408,,,27.5,14.5,False
3020180452,59187.66919623,34469.6,54136,,,6.4,6.4,False
3020180453,59188.37838445,39404.9,33562,11.184514854,1.406e-06,17.3,17.3,True
3020180457,,,,,,,,False
3020180455,59191.12004191,396.0,14382,,,14.8,13.7,False
3020180449,59184.79328339,0.0,119812,11.184514183,2.782e-06,53.1,37.5,True
3020180456,59192.98920610,422.0,16363,,,3.3,3.3,False
3020180461,,,,,,,,False
3020180448,59168.50418417,0.0,134969,11.184544245,6.928e-07,62.0,25.5,True
3020180459,59208.35398413,28068.2,27196,,,11.8,11.8,False
3020180462,59212.10985270,4966.1,18343,,,7.7,7.7,False
3020180464,59246.14629540,27585.4,27504,11.184440283,4.037e-06,17.9,17.8,True
3020180465,59267.09736801,787.9,34625,0.000000000,1.878e-06,553972.0,69250.0,True
3020180458,59207.49801989,0.0,69319,11.184490972,8.464e-07,52.1,34.6,True
3020180446,59166.48514707,0.0,251424,11.184546457,4.981e-07,133.2,69.6,True
3020180460,59209.50665702,0.0,124680,11.184487257,1.551e-06,86.5,39.7,True
4020180405,59317.99011858,255.0,11119,,,4.8,4.8,False
4020180401,59313.79843422,33726.8,79650,11.184338608,1.987e-06,23.8,23.8,True
4020180407,59319.86005010,159.9,6407,,,10.6,2.3,False
4020180408,59320.11836378,195.9,8396,,,2.4,2.4,False
4020180409,,,,,,,,False
4020180410,59334.01965122,191.9,8308,-0.000000000,1.569e-05,132900.0,16616.0,True
4020180411,59356.34912360,197.0,8657,,,4.6,4.6,False
4020180406,59318.24832477,308.9,13514,,,9.3,6.1,False
3020180463,59245.67394156,0.0,127679,11.184441712,1.725e-06,74.8,36.6,True
4020180413,59358.03040675,5841.7,15124,,,7.1,6.8,False
4020180415,,,,,,,,False
4020180416,,,,,,,,False
4020180414,59362.35619523,5732.7,8318,0.000000018,3.401e-07,133060.0,16636.0,True
4020180404,59316.48342515,0.0,48605,11.184344308,8.749e-07,27.1,20.9,True
4020180417,,,,,,,,False
4020180412,59357.79596423,72580.4,31308,,,7.6,7.6,False
4020180419,59391.21650747,22442.0,16233,,,5.8,5.8,False
4020180403,59315.36112750,0.0,122948,11.184345995,9.008e-07,78.6,31.0,True
4020180420,59392.85649527,50435.9,47385,11.184259940,1.707e-06,19.1,15.4,True
4020180418,59390.35974782,23017.0,48828,,,3.6,3.6,False
4020180425,59401.53699671,141.0,12618,,,4.3,4.3,False
4020180402,59314.46572168,0.0,155141,11.184348255,9.093e-07,64.4,37.5,True
4020180427,,,,,,,,False
4020180429,59424.60711539,259.0,12059,,,3.3,3.3,False
4020180430,59425.81491824,434.0,14449,,,3.0,1.6,False
4020180426,59402.37826924,432.0,42067,,,0.8,0.8,False
4020180431,59426.56619362,6018.8,28425,11.184188977,1.042e-05,21.5,15.3,True
4020180433,59449.89384344,5847.0,27598,,,1.2,1.2,False
4020180422,59397.89901905,28689.9,113464,11.184228557,3.137e-06,15.2,15.2,True
4020180432,59429.67258336,0.0,61046,11.184206425,1.896e-06,26.9,13.7,True
4020180424,59400.33639421,33667.7,151584,11.184232025,2.326e-06,21.7,16.3,True
4020180423,59398.26900973,0.0,212072,11.184234707,1.320e-06,61.2,38.9,True
4020180437,59456.53880565,5987.0,41918,,,2.2,2.2,False
4020180421,59393.45240326,0.0,244069,11.184240131,1.030e-06,60.4,28.8,True
4020180439,59467.80284914,579.0,27855,,,9.9,0.3,False
4020180436,59455.34558782,0.0,125651,11.184171993,7.732e-07,30.0,21.9,True
4020180438,59458.47581362,0.0,81627,11.184180042,7.601e-06,27.3,27.3,True
4020180435,59451.40813286,0.0,178459,11.184177850,6.247e-07,54.2,51.5,True
4020180444,59475.35389675,331.9,13535,,,9.7,1.7,False
4020180440,59468.64526410,0.0,107513,11.184151576,1.418e-06,25.8,19.8,True
4020180442,59471.37097619,50566.8,85841,,,4.3,2.6,False
4020180447,,,,,,,,False
4020180434,59450.57178868,0.0,238413,11.184178228,4.527e-07,110.3,68.1,True
4020180449,,,,,,,,False
4020180446,59481.25350552,695.0,30285,,,5.1,4.8,False
4020180443,59472.45119479,0.0,98634,11.184145113,2.008e-06,42.7,18.6,True
4020180448,59494.12762339,5923.1,48936,,,2.2,2.2,False
4020180441,59470.58318972,0.0,154901,11.184149032,6.401e-07,31.4,28.1,True
4020180451,59506.16193606,0.0,80946,11.184104136,1.655e-06,59.1,23.5,True
4020180450,59505.91977323,0.0,114140,11.184102544,4.464e-06,59.1,27.7,True
4020180453,59525.39324574,56381.6,75358,,,5.6,5.6,False
