BatchStart
|obsid         |prnb |status          |pi_lname    |pi_fname|target_name  |ra        |dec      |time                 |duration|exposure|_Search_Offset                |
|80146-01-66-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-12 22:06:02.3|    6845|    4611| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-85-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-07-02 11:27:24.8|    8983|    4510| 0.037 (17 46 15.6, -32 14 01)|
|96425-01-02-02|96425|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2011-04-19 14:48:57.3|    8770|    4504| 0.460 (17 46 15.6, -32 14 01)|
|92047-03-05-00|92047|archived        |KLEIN-WOLT  |MARC    |EXO_J1742-326|17 45 28.6|-32 41 38|2007-10-12 09:09:10.4|    8757|    4477|29.351 (17 46 15.6, -32 14 01)|
|80146-01-77-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-24 10:16:11.4|    7692|    3932| 0.037 (17 46 15.6, -32 14 01)|
|80137-02-02-01|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-10 16:51:56.7|    4694|    3901| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-05-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-21 07:25:54.6|    4291|    3787|19.061 (17 46 15.6, -32 14 01)|
|80146-01-03-10|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|  2003-08-04 12:29:07|    5378|    3770| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-12-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-22 23:00:06.6|    5700|    3710|19.061 (17 46 15.6, -32 14 01)|
|80137-01-50-00|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2004-02-10 15:37:37.6|    6060|    3704| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-07-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-22 00:51:06.3|    4308|    3703|19.061 (17 46 15.6, -32 14 01)|
|80137-02-03-04|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-15 16:47:23.7|    4388|    3669| 0.037 (17 46 15.6, -32 14 01)|
|90058-10-02-00|90058|archived        |SWANK       |JEAN    |XTE_J1746-319|17 46 15.6|-32 13 59|2004-07-13 09:16:52.6|    5921|    3660| 0.037 (17 46 15.6, -32 14 01)|
|90058-10-01-00|90058|archived        |SWANK       |JEAN    |XTE_J1746-319|17 46 15.6|-32 13 59|2004-07-11 06:39:56.7|    5584|    3660| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-51-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-29 10:39:06.9|    4851|    3657| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-52-01|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-02 11:01:33.9|    6464|    3652| 0.037 (17 46 15.6, -32 14 01)|
|91050-06-10-00|91050|archived        |SWANK       |JEAN    |H_1743-322   |17 46 16.8|-32 14 24|2005-08-30 20:34:37.6|    4181|    3641| 0.460 (17 46 15.6, -32 14 01)|
|80138-01-06-00|80138|archived        |SWANK       |JEAN    |XTE_J1746-319|17 46 15.6|-32 13 59|  2003-04-10 15:40:14|    5933|    3632| 0.037 (17 46 15.6, -32 14 01)|
|95360-14-33-00|95360|archived        |SHAPOSHNIKOV|NIKOLAI |H_1743-322   |17 46 15.6|-32 14 01|2010-10-10 01:27:49.5|    5847|    3621| 0.007 (17 46 15.6, -32 14 01)|
