BatchStart
|obsid         |prnb |status           |pi_lname    |pi_fname|target_name |ra        |dec      |time                 |duration|exposure|_Search_Offset      |
|91702-01-80-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-18 11:17:45.9|   15366|   10329|0.024 (GRO J1655-40)|
|91702-01-32-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-08-11 06:12:34.3|   16968|   10312|0.024 (GRO J1655-40)|
|91702-01-87-02|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-29 06:43:02.5|   15275|   10312|0.024 (GRO J1655-40)|
|91702-01-83-01|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-06-18 09:10:08.3|   17193|   10244|0.024 (GRO J1655-40)|
|91404-01-01-02|91404|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-04 21:41:56.8|   16441|   10173|0.024 (GRO J1655-40)|
|91702-01-11-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-18 09:47:07.9|   16740|   10133|0.024 (GRO J1655-40)|
|10255-01-01-02|10255|archived         |REMILLARD   |RONALD  |GRO_J1655-40|16 54 00.0|-39 50 45|1996-05-09 15:41:55.1|   20192|   10087|0.027 (GRO J1655-40)|
|91702-01-34-01|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-18 16:27:31.4|   17077|   10074|0.024 (GRO J1655-40)|
|91702-01-16-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-23 09:06:07.2|   17941|    9939|0.024 (GRO J1655-40)|
|20402-02-01-00|20402|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.0|-39 50 45|1997-02-26 19:30:00.9|   14532|    9896|0.027 (GRO J1655-40)|
|91702-01-36-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-21 19:58:14.3|   14513|    9859|0.024 (GRO J1655-40)|
|91702-01-46-01|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|  2005-09-08 05:55:46|   16833|    9807|0.024 (GRO J1655-40)|
|91702-01-09-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-15 06:07:07.7|   16560|    9169|0.024 (GRO J1655-40)|
|91702-01-13-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-21 08:30:12.4|   16735|    9156|0.024 (GRO J1655-40)|
|10255-01-04-00|10255|archived         |REMILLARD   |RONALD  |GRO_J1655-40|16 54 00.0|-39 50 45|1996-08-01 07:20:46.2|   17301|    9142|0.027 (GRO J1655-40)|
|91702-01-28-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-10 01:20:07.3|   15109|    9136|0.024 (GRO J1655-40)|
|91702-01-55-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|  2005-05-13 05:07:10|   13952|    9096|0.024 (GRO J1655-40)|
|91702-01-76-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-15 04:35:41.3|   17447|    9096|0.024 (GRO J1655-40)|
|20402-02-20-00|20402|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.0|-39 50 45|  1997-07-08 11:29:18|   15368|    9080|0.027 (GRO J1655-40)|
|91702-01-10-01|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-22 16:09:25.3|   14712|    8885|0.024 (GRO J1655-40)|
|91702-01-94-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-06-30 04:47:35.8|   15228|    8688|0.024 (GRO J1655-40)|
|10255-01-02-02|10255|archived         |REMILLARD   |RONALD  |GRO_J1655-40|16 54 00.0|-39 50 45|  1996-05-12 06:26:41|   18900|    8614|0.027 (GRO J1655-40)|
|20402-02-08-00|20402|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.0|-39 50 45|1997-04-16 18:24:15.8|   13452|    8604|0.027 (GRO J1655-40)|
|10255-01-10-00|10255|archived         |REMILLARD   |RONALD  |GRO_J1655-40|16 54 00.0|-39 50 45|1996-09-09 21:51:07.2|   10281|    8214|0.027 (GRO J1655-40)|
|91702-01-10-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-16 18:21:10.1|   10269|    7958|0.024 (GRO J1655-40)|
|91702-01-09-11|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-16 12:03:10.9|   12060|    7898|0.024 (GRO J1655-40)|
|91702-01-53-13|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-10-24 05:49:07.7|   12247|    7784|0.024 (GRO J1655-40)|
|10255-01-02-04|10255|archived         |REMILLARD   |RONALD  |GRO_J1655-40|16 54 00.0|-39 50 45|  1996-05-11 12:47:45|   15023|    7765|0.027 (GRO J1655-40)|
|91702-01-26-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-08 01:28:39.6|   10886|    7720|0.024 (GRO J1655-40)|
|91702-01-43-11|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-10-18 00:19:40.2|   11427|    7718|0.024 (GRO J1655-40)|
|91702-01-27-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-08 23:23:42.7|   10557|    7649|0.024 (GRO J1655-40)|
|91702-01-58-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-18 12:03:41.2|   11857|    7534|0.024 (GRO J1655-40)|
|91702-01-66-02|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-30 18:25:59.5|   10139|    7501|0.024 (GRO J1655-40)|
|91702-01-26-01|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-08 18:43:31.9|   11003|    7495|0.024 (GRO J1655-40)|
|91702-01-75-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-13 05:25:42.8|   13105|    7471|0.024 (GRO J1655-40)|
|91702-01-53-12|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|  2005-10-23 12:37:42|   10020|    7470|0.024 (GRO J1655-40)|
|10255-01-03-00|10255|archived         |REMILLARD   |RONALD  |GRO_J1655-40|16 54 00.0|-39 50 45|1996-07-25 08:24:51.8|   12135|    7450|0.027 (GRO J1655-40)|
|91702-01-46-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-08 12:14:51.6|    9834|    7383|0.024 (GRO J1655-40)|
|91702-01-64-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-26 13:42:05.8|   11635|    7369|0.024 (GRO J1655-40)|
|91702-01-05-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-11 07:35:55.1|   11616|    7329|0.024 (GRO J1655-40)|
|91702-01-61-02|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-23 05:17:51.9|   10650|    7275|0.024 (GRO J1655-40)|
|91702-01-30-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-04-11 19:12:58.8|   11288|    7260|0.024 (GRO J1655-40)|
|91702-01-39-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-08-19 02:54:37.7|   10830|    7125|0.024 (GRO J1655-40)|
|91702-01-01-13|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-06 08:07:36.8|   11674|    7125|0.024 (GRO J1655-40)|
|91702-01-08-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-20 13:37:37.9|   10468|    7124|0.024 (GRO J1655-40)|
|91702-01-17-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-24 13:34:39.1|    9925|    7119|0.024 (GRO J1655-40)|
|91702-01-92-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-06-28 08:06:44.1|   11304|    7114|0.024 (GRO J1655-40)|
|20402-02-28-00|20402|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.0|-39 50 45|1997-09-01 00:44:48.8|   13398|    7100|0.027 (GRO J1655-40)|
|91702-01-38-10|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-10-08 21:44:27.2|   11680|    7086|0.024 (GRO J1655-40)|
