BatchStart
|obsid         |prnb |status  |pi_lname    |pi_fname|target_name   |ra        |dec      |time                 |duration|exposure|_Search_Offset       |
|30188-06-09-00|30188|archived|CUI         |WEI     |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-15 04:37:38.8|    6796|    3582|2.657 (XTE J1550-564)|
|40401-01-66-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-03-27 17:52:30.7|    4823|    3568|2.657 (XTE J1550-564)|
|30191-01-34-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-24 06:22:16.6|    4201|    3565|2.657 (XTE J1550-564)|
|30435-01-06-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-12-03 01:21:46.7|    5125|    3565|2.657 (XTE J1550-564)|
|40401-01-38-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-15 16:39:18.1|    6061|    3554|2.657 (XTE J1550-564)|
|60428-01-13-00|60428|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 59.0|-56 28 34|2002-02-03 20:14:52.2|    4157|    3552|0.059 (XTE J1550-564)|
|60428-01-12-00|60428|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 59.0|-56 28 34|2002-02-02 03:01:53.2|    4140|    3550|0.059 (XTE J1550-564)|
|40401-01-35-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-11 19:59:06.1|    6042|    3520|2.657 (XTE J1550-564)|
|30514-03-14-00|30514|observed|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-04 16:50:43.3|    6540|    3515|2.657 (XTE J1550-564)|
|60428-01-18-00|60428|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 59.0|-56 28 34|2002-02-17 17:08:13.9|    5931|    3502|0.059 (XTE J1550-564)|
|40401-01-90-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-04-30 02:05:12.5|    3840|    3452|2.657 (XTE J1550-564)|
|40401-01-30-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-05 23:19:12.3|    5993|    3445|2.657 (XTE J1550-564)|
|40401-01-42-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-21 10:07:22.7|    4472|    3434|2.657 (XTE J1550-564)|
